Date,Time,Voltage (V),TimeStamp (mS)
17 Oct 2022,15:03:30.453,3.764000,292588
17 Oct 2022,15:03:35.584,3.762000,297798
17 Oct 2022,15:03:40.427,3.763000,303006
17 Oct 2022,15:03:45.558,3.759000,308214
17 Oct 2022,15:03:50.734,3.761000,313424
17 Oct 2022,15:03:55.773,3.760000,318932
17 Oct 2022,15:04:00.949,3.760000,323940
17 Oct 2022,15:04:06.678,3.760000,329046
17 Oct 2022,15:04:11.883,3.759000,334254
17 Oct 2022,15:04:16.803,3.761000,339462
17 Oct 2022,15:04:21.978,3.759000,344670
17 Oct 2022,15:04:26.914,3.756000,349876
17 Oct 2022,15:04:32.388,3.765000,355086
17 Oct 2022,15:04:36.903,3.763000,360292
17 Oct 2022,15:04:42.618,3.762000,365308
17 Oct 2022,15:04:48.093,3.762000,370378
17 Oct 2022,15:04:52.189,3.759000,375476
17 Oct 2022,15:04:58.173,3.763000,380480
17 Oct 2022,15:05:03.588,3.760000,385588
17 Oct 2022,15:05:07.880,3.760000,390796
17 Oct 2022,15:05:13.053,3.759000,396004
17 Oct 2022,15:05:19.039,3.765000,401212
17 Oct 2022,15:05:22.894,3.763000,406228
17 Oct 2022,15:05:28.099,3.763000,411284
17 Oct 2022,15:05:33.214,3.763000,416344
17 Oct 2022,15:05:38.374,3.760000,421354
17 Oct 2022,15:05:44.599,3.765000,426566
17 Oct 2022,15:05:49.550,3.762000,431716
17 Oct 2022,15:05:54.125,3.759000,436730
17 Oct 2022,15:05:58.008,3.759000,441788
17 Oct 2022,15:06:03.559,3.762000,446850
17 Oct 2022,15:06:10.225,3.762000,451860
17 Oct 2022,15:06:14.899,3.759000,457066
17 Oct 2022,15:06:18.694,3.760000,462274
17 Oct 2022,15:06:24.769,3.764000,467428
17 Oct 2022,15:06:30.709,3.762000,472446
17 Oct 2022,15:06:34.430,3.760000,477454
17 Oct 2022,15:06:40.506,3.761000,482460
17 Oct 2022,15:06:44.615,3.761000,487516
17 Oct 2022,15:06:50.569,3.757000,492730
17 Oct 2022,15:06:55.924,3.762000,497854
17 Oct 2022,15:06:59.751,3.760000,503036
17 Oct 2022,15:07:05.540,3.762000,508088
17 Oct 2022,15:07:09.411,3.760000,513090
17 Oct 2022,15:07:16.609,3.759000,518290
17 Oct 2022,15:07:19.174,3.757000,523304
17 Oct 2022,15:07:24.964,3.761000,528436
17 Oct 2022,15:07:30.830,3.758000,533478
17 Oct 2022,15:07:35.165,3.758000,538530
17 Oct 2022,15:07:40.610,3.760000,543626
17 Oct 2022,15:07:46.339,3.762000,548700
17 Oct 2022,15:07:51.740,3.762000,553732
17 Oct 2022,15:07:55.145,3.760000,558940
17 Oct 2022,15:08:00.665,3.757000,564148
17 Oct 2022,15:08:05.991,3.758000,569186
17 Oct 2022,15:08:11.704,3.761000,574232
17 Oct 2022,15:08:17.000,3.760000,579272
17 Oct 2022,15:08:20.615,3.759000,584336
17 Oct 2022,15:08:26.525,3.758000,589494
17 Oct 2022,15:08:31.520,3.759000,594650
17 Oct 2022,15:08:37.175,3.761000,599650
17 Oct 2022,15:08:42.935,3.759000,604724
17 Oct 2022,15:08:45.875,3.756000,609732
17 Oct 2022,15:08:52.175,3.758000,614740
17 Oct 2022,15:08:57.860,3.757000,619956
17 Oct 2022,15:09:01.535,3.761000,625156
17 Oct 2022,15:09:08.063,3.757000,630364
17 Oct 2022,15:09:12.275,3.757000,635572
17 Oct 2022,15:09:17.933,3.757000,640780
17 Oct 2022,15:09:23.286,3.761000,645988
17 Oct 2022,15:09:29.664,3.755000,651006
17 Oct 2022,15:09:32.766,3.760000,656008
17 Oct 2022,15:09:39.307,3.759000,661020
17 Oct 2022,15:09:42.335,3.756000,666076
17 Oct 2022,15:09:47.946,3.756000,671084
17 Oct 2022,15:09:53.406,3.754000,676100
17 Oct 2022,15:09:59.721,3.756000,681158
17 Oct 2022,15:10:02.810,3.758000,686164
17 Oct 2022,15:10:09.171,3.756000,691372
17 Oct 2022,15:10:13.192,3.757000,696580
17 Oct 2022,15:10:17.544,3.757000,701608
17 Oct 2022,15:10:23.661,3.759000,706652
17 Oct 2022,15:10:29.902,3.760000,711710
17 Oct 2022,15:10:33.291,3.760000,716768
17 Oct 2022,15:10:39.051,3.756000,721930
17 Oct 2022,15:10:45.111,3.754000,727084
17 Oct 2022,15:10:48.591,3.756000,732292
17 Oct 2022,15:10:54.937,3.758000,737502
17 Oct 2022,15:11:00.575,3.759000,742708
17 Oct 2022,15:11:06.277,3.756000,747916
17 Oct 2022,15:11:10.341,3.759000,753124
17 Oct 2022,15:11:15.455,3.756000,758332
17 Oct 2022,15:11:20.751,3.755000,763540
17 Oct 2022,15:11:26.646,3.755000,768748
17 Oct 2022,15:11:30.442,3.755000,773764
17 Oct 2022,15:11:35.766,3.761000,778766
17 Oct 2022,15:11:41.665,3.757000,783782
17 Oct 2022,15:11:45.412,3.754000,788838
17 Oct 2022,15:11:50.556,3.759000,794044
17 Oct 2022,15:11:55.911,3.756000,799254
17 Oct 2022,15:12:01.463,3.757000,804460
17 Oct 2022,15:12:06.876,3.754000,809668
17 Oct 2022,15:12:12.682,3.756000,814876
17 Oct 2022,15:12:18.045,3.758000,820048
17 Oct 2022,15:12:21.666,3.754000,825088
17 Oct 2022,15:12:27.096,3.755000,830286
17 Oct 2022,15:12:33.024,3.752000,835412
17 Oct 2022,15:12:36.742,3.753000,840552
17 Oct 2022,15:12:42.321,3.755000,845718
17 Oct 2022,15:12:48.263,3.755000,850720
17 Oct 2022,15:12:54.143,3.753000,855850
17 Oct 2022,15:12:57.551,3.755000,861004
17 Oct 2022,15:13:02.812,3.754000,866006
17 Oct 2022,15:13:08.032,3.755000,871070
17 Oct 2022,15:13:13.672,3.752000,876134
17 Oct 2022,15:13:17.616,3.753000,881192
17 Oct 2022,15:13:23.333,3.758000,886352
17 Oct 2022,15:13:28.807,3.753000,891508
17 Oct 2022,15:13:32.498,3.753000,896522
17 Oct 2022,15:13:38.197,3.755000,901618
17 Oct 2022,15:13:43.733,3.753000,906688
