Date,Time,ETCO2 (mmHg)
17 Oct 2022,15:03:28.795,0.0
17 Oct 2022,15:03:31.346,0.0
17 Oct 2022,15:03:33.898,0.0
17 Oct 2022,15:03:36.459,0.0
17 Oct 2022,15:03:38.998,0.0
17 Oct 2022,15:03:41.545,0.0
17 Oct 2022,15:03:44.098,0.0
17 Oct 2022,15:03:46.657,0.0
17 Oct 2022,15:03:49.210,0.0
17 Oct 2022,15:03:51.749,0.0
17 Oct 2022,15:03:54.301,0.0
17 Oct 2022,15:03:56.859,0.0
17 Oct 2022,15:03:59.403,0.0
17 Oct 2022,15:04:01.960,0.0
17 Oct 2022,15:04:04.515,0.0
17 Oct 2022,15:04:07.050,0.0
17 Oct 2022,15:04:09.610,0.0
17 Oct 2022,15:04:12.161,0.0
17 Oct 2022,15:04:14.726,0.0
17 Oct 2022,15:04:17.261,0.0
17 Oct 2022,15:04:19.812,0.0
17 Oct 2022,15:04:22.363,0.0
17 Oct 2022,15:04:24.918,0.0
17 Oct 2022,15:04:27.475,0.0
17 Oct 2022,15:04:30.028,0.0
17 Oct 2022,15:04:32.567,0.0
17 Oct 2022,15:04:35.126,0.0
17 Oct 2022,15:04:37.674,0.0
17 Oct 2022,15:04:40.237,0.0
17 Oct 2022,15:04:42.788,0.0
17 Oct 2022,15:04:45.333,0.0
17 Oct 2022,15:04:47.901,0.0
17 Oct 2022,15:04:50.440,0.0
17 Oct 2022,15:04:52.995,0.0
17 Oct 2022,15:04:55.564,0.0
17 Oct 2022,15:04:58.097,0.0
17 Oct 2022,15:05:00.632,34.8
17 Oct 2022,15:05:03.194,35.1
17 Oct 2022,15:05:05.745,35.1
17 Oct 2022,15:05:08.306,39.3
17 Oct 2022,15:05:10.848,39.3
17 Oct 2022,15:05:13.399,39.3
17 Oct 2022,15:05:15.938,39.3
17 Oct 2022,15:05:18.508,39.3
17 Oct 2022,15:05:21.056,38.2
17 Oct 2022,15:05:23.589,38.2
17 Oct 2022,15:05:26.146,38.2
17 Oct 2022,15:05:28.700,37.6
17 Oct 2022,15:05:31.279,38.8
17 Oct 2022,15:05:33.798,38.8
17 Oct 2022,15:05:36.355,39.4
17 Oct 2022,15:05:38.910,39.4
17 Oct 2022,15:05:41.452,39.4
17 Oct 2022,15:05:44.022,38.9
17 Oct 2022,15:05:46.561,38.2
17 Oct 2022,15:05:49.103,38.6
17 Oct 2022,15:05:51.660,38.6
17 Oct 2022,15:05:54.205,38.3
17 Oct 2022,15:05:56.771,39.6
17 Oct 2022,15:05:59.310,39.6
17 Oct 2022,15:06:01.850,39.6
17 Oct 2022,15:06:04.430,38.3
17 Oct 2022,15:06:06.964,38.1
17 Oct 2022,15:06:09.540,38.1
17 Oct 2022,15:06:12.076,39.8
17 Oct 2022,15:06:14.614,39.8
17 Oct 2022,15:06:17.173,40.6
17 Oct 2022,15:06:19.712,40.6
17 Oct 2022,15:06:22.286,40.6
17 Oct 2022,15:06:24.831,40.6
17 Oct 2022,15:06:27.367,39.7
17 Oct 2022,15:06:29.936,39.7
17 Oct 2022,15:06:32.477,37.2
17 Oct 2022,15:06:35.034,37.2
17 Oct 2022,15:06:37.591,37.9
17 Oct 2022,15:06:40.114,37.9
17 Oct 2022,15:06:42.684,37.9
17 Oct 2022,15:06:45.226,37.0
17 Oct 2022,15:06:47.806,37.0
17 Oct 2022,15:06:50.343,37.0
17 Oct 2022,15:06:52.877,36.6
17 Oct 2022,15:06:55.435,38.1
17 Oct 2022,15:06:58.001,38.1
