Date,Time,Respiration (bpm)
17 Oct 2022,15:03:28.294,0.0
17 Oct 2022,15:03:30.850,0.0
17 Oct 2022,15:03:33.405,0.0
17 Oct 2022,15:03:35.954,0.0
17 Oct 2022,15:03:38.502,0.0
17 Oct 2022,15:03:41.043,0.0
17 Oct 2022,15:03:43.601,0.0
17 Oct 2022,15:03:46.153,0.0
17 Oct 2022,15:03:48.724,0.0
17 Oct 2022,15:03:51.252,0.0
17 Oct 2022,15:03:53.800,0.0
17 Oct 2022,15:03:56.361,0.0
17 Oct 2022,15:03:58.905,0.0
17 Oct 2022,15:04:01.473,0.0
17 Oct 2022,15:04:04.014,0.0
17 Oct 2022,15:04:06.558,0.0
17 Oct 2022,15:04:09.114,0.0
17 Oct 2022,15:04:11.668,0.0
17 Oct 2022,15:04:14.215,0.0
17 Oct 2022,15:04:16.768,0.0
17 Oct 2022,15:04:19.305,0.0
17 Oct 2022,15:04:21.868,0.0
17 Oct 2022,15:04:24.415,0.0
17 Oct 2022,15:04:26.979,0.0
17 Oct 2022,15:04:29.521,0.0
17 Oct 2022,15:04:32.068,0.0
17 Oct 2022,15:04:34.628,0.0
17 Oct 2022,15:04:37.174,0.0
17 Oct 2022,15:04:39.753,0.0
17 Oct 2022,15:04:42.293,0.0
17 Oct 2022,15:04:44.829,0.0
17 Oct 2022,15:04:47.404,0.0
17 Oct 2022,15:04:49.922,0.0
17 Oct 2022,15:04:52.493,0.0
17 Oct 2022,15:04:55.041,0.0
17 Oct 2022,15:04:57.599,0.0
17 Oct 2022,15:05:00.153,0.0
17 Oct 2022,15:05:02.688,32.0
17 Oct 2022,15:05:05.260,32.0
17 Oct 2022,15:05:07.800,32.0
17 Oct 2022,15:05:10.345,32.0
17 Oct 2022,15:05:12.905,14.0
17 Oct 2022,15:05:15.466,14.0
17 Oct 2022,15:05:18.008,14.0
17 Oct 2022,15:05:20.548,14.0
17 Oct 2022,15:05:23.105,8.0
17 Oct 2022,15:05:25.662,8.0
17 Oct 2022,15:05:28.217,8.0
17 Oct 2022,15:05:30.756,8.0
17 Oct 2022,15:05:33.312,16.0
17 Oct 2022,15:05:35.854,16.0
17 Oct 2022,15:05:38.431,16.0
17 Oct 2022,15:05:40.966,15.0
17 Oct 2022,15:05:43.522,15.0
17 Oct 2022,15:05:46.063,15.0
17 Oct 2022,15:05:48.619,15.0
17 Oct 2022,15:05:51.159,25.0
17 Oct 2022,15:05:53.715,25.0
17 Oct 2022,15:05:56.270,25.0
17 Oct 2022,15:05:58.815,25.0
17 Oct 2022,15:06:01.367,22.0
17 Oct 2022,15:06:03.923,22.0
17 Oct 2022,15:06:06.467,22.0
17 Oct 2022,15:06:09.021,22.0
17 Oct 2022,15:06:11.583,13.0
17 Oct 2022,15:06:14.116,13.0
17 Oct 2022,15:06:16.682,13.0
17 Oct 2022,15:06:19.228,13.0
17 Oct 2022,15:06:21.804,12.0
17 Oct 2022,15:06:24.325,12.0
17 Oct 2022,15:06:26.881,12.0
17 Oct 2022,15:06:29.421,12.0
17 Oct 2022,15:06:31.979,12.0
17 Oct 2022,15:06:34.530,12.0
17 Oct 2022,15:06:37.072,12.0
17 Oct 2022,15:06:39.628,12.0
17 Oct 2022,15:06:42.187,12.0
17 Oct 2022,15:06:44.728,13.0
17 Oct 2022,15:06:47.297,13.0
17 Oct 2022,15:06:49.848,13.0
17 Oct 2022,15:06:52.377,13.0
17 Oct 2022,15:06:54.936,18.0
17 Oct 2022,15:06:57.490,18.0
17 Oct 2022,15:07:00.047,18.0
17 Oct 2022,15:07:02.585,18.0
17 Oct 2022,15:07:05.143,18.0
17 Oct 2022,15:07:07.703,18.0
17 Oct 2022,15:07:10.245,18.0
17 Oct 2022,15:07:12.810,18.0
17 Oct 2022,15:07:15.335,20.0
17 Oct 2022,15:07:17.893,20.0
17 Oct 2022,15:07:20.447,20.0
17 Oct 2022,15:07:22.995,20.0
17 Oct 2022,15:07:25.564,14.0
17 Oct 2022,15:07:28.099,14.0
17 Oct 2022,15:07:30.656,14.0
17 Oct 2022,15:07:33.210,14.0
17 Oct 2022,15:07:35.755,15.0
17 Oct 2022,15:07:38.325,15.0
17 Oct 2022,15:07:40.849,15.0
17 Oct 2022,15:07:43.404,15.0
17 Oct 2022,15:07:45.963,14.0
17 Oct 2022,15:07:48.501,14.0
17 Oct 2022,15:07:51.073,14.0
17 Oct 2022,15:07:53.617,14.0
