Date,Time,INSCO2 (mmHg)
17 Oct 2022,15:03:28.544,0.0
17 Oct 2022,15:03:31.091,0.0
17 Oct 2022,15:03:33.655,0.0
17 Oct 2022,15:03:36.203,0.0
17 Oct 2022,15:03:38.755,0.0
17 Oct 2022,15:03:41.295,0.0
17 Oct 2022,15:03:43.850,0.0
17 Oct 2022,15:03:46.405,0.0
17 Oct 2022,15:03:48.960,0.0
17 Oct 2022,15:03:51.514,0.0
17 Oct 2022,15:03:54.054,0.0
17 Oct 2022,15:03:56.608,0.0
17 Oct 2022,15:03:59.160,0.0
17 Oct 2022,15:04:01.707,0.0
17 Oct 2022,15:04:04.280,0.0
17 Oct 2022,15:04:06.810,0.0
17 Oct 2022,15:04:09.356,0.0
17 Oct 2022,15:04:11.927,0.0
17 Oct 2022,15:04:14.457,0.0
17 Oct 2022,15:04:17.021,0.0
17 Oct 2022,15:04:19.559,0.0
17 Oct 2022,15:04:22.109,0.0
17 Oct 2022,15:04:24.669,0.0
17 Oct 2022,15:04:27.220,0.0
17 Oct 2022,15:04:29.770,0.0
17 Oct 2022,15:04:32.320,0.0
17 Oct 2022,15:04:34.873,0.0
17 Oct 2022,15:04:37.438,0.0
17 Oct 2022,15:04:39.983,0.0
17 Oct 2022,15:04:42.551,0.0
17 Oct 2022,15:04:45.091,0.0
17 Oct 2022,15:04:47.638,0.0
17 Oct 2022,15:04:50.203,0.0
17 Oct 2022,15:04:52.730,0.0
17 Oct 2022,15:04:55.298,0.0
17 Oct 2022,15:04:57.831,0.0
17 Oct 2022,15:05:00.387,0.0
17 Oct 2022,15:05:02.953,1.2
17 Oct 2022,15:05:05.492,1.2
17 Oct 2022,15:05:08.053,1.4
17 Oct 2022,15:05:10.609,1.8
17 Oct 2022,15:05:13.152,1.8
17 Oct 2022,15:05:15.702,1.9
17 Oct 2022,15:05:18.241,1.9
17 Oct 2022,15:05:20.820,1.9
17 Oct 2022,15:05:23.356,1.9
17 Oct 2022,15:05:25.892,2.2
17 Oct 2022,15:05:28.468,2.2
17 Oct 2022,15:05:31.012,2.2
17 Oct 2022,15:05:33.563,2.2
17 Oct 2022,15:05:36.103,2.2
17 Oct 2022,15:05:38.645,2.5
17 Oct 2022,15:05:41.214,2.5
17 Oct 2022,15:05:43.754,2.6
17 Oct 2022,15:05:46.310,2.6
17 Oct 2022,15:05:48.866,2.6
17 Oct 2022,15:05:51.408,2.7
17 Oct 2022,15:05:53.963,2.7
17 Oct 2022,15:05:56.504,2.7
17 Oct 2022,15:05:59.080,2.9
17 Oct 2022,15:06:01.617,2.9
