Date,Time,Reserved1,CO,Reserved2,TimeStamp (mS),LVET,Reserved3,N/A,N/A,N/A,SV
17 Oct 2022,15:04:24.575,0,0.000000,818,346712,0,0.000000,0.000000,0.000000,0.000000,0
17 Oct 2022,15:04:36.903,258,5.600000,786,357740,244,0.754384,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:36.903,250,5.600000,818,358526,230,0.775723,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:36.903,256,5.600000,822,359344,230,0.736087,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:38.374,248,5.700000,796,360166,208,0.692025,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:38.374,250,5.700000,800,360962,248,0.728216,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:40.458,250,5.700000,832,361762,250,0.727739,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:40.458,250,5.700000,858,362594,250,0.700883,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:42.618,250,5.700000,830,363452,246,0.677092,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:42.618,248,5.700000,792,364282,244,0.671896,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:42.618,250,5.700000,796,365074,246,0.686366,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:44.253,250,5.700000,826,365870,206,0.693425,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:44.253,252,5.700000,832,366696,246,0.675477,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:46.168,250,5.700000,804,367528,244,0.654920,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:46.168,242,5.700000,810,368332,244,0.670419,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:48.093,244,5.600000,830,369142,210,0.684061,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:48.093,242,5.600000,832,369972,208,0.668009,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:48.093,240,5.700000,794,370804,244,0.664791,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:50.059,240,5.700000,802,371598,208,0.682647,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:50.059,242,5.700000,818,372400,250,0.703250,0.000000,0.000000,0.000000,77
17 Oct 2022,15:04:52.189,242,5.700000,820,373218,206,0.696092,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:52.189,244,5.700000,832,374038,246,0.661697,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:53.988,240,5.700000,834,374870,248,0.722491,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:53.988,248,5.700000,814,375704,246,0.730864,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:53.988,244,5.700000,824,376518,248,0.716881,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:55.503,244,5.700000,844,377342,248,0.718163,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:55.503,242,5.700000,814,378186,246,0.723245,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:58.173,244,5.700000,804,379000,202,0.687049,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:58.173,244,5.700000,826,379804,252,0.744949,0.000000,0.000000,0.000000,78
17 Oct 2022,15:04:58.173,246,5.700000,856,380630,254,0.749413,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:00.378,248,5.600000,882,381486,206,0.758217,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:00.378,248,5.600000,840,382368,248,0.713267,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:01.474,248,5.700000,826,383208,248,0.729310,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:01.474,248,5.600000,854,384034,252,0.748735,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:03.588,254,5.600000,878,384888,208,0.746993,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:03.588,254,5.600000,846,385766,250,0.696239,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:05.931,252,5.600000,842,386612,206,0.706194,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:05.931,254,5.600000,850,387454,250,0.718821,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:07.880,250,5.600000,828,388304,206,0.710910,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:07.880,250,5.600000,798,389132,200,0.702602,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:07.880,250,5.600000,818,389930,248,0.734124,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:09.438,248,5.600000,840,390748,250,0.751571,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:09.438,250,5.600000,832,391588,202,0.738239,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:10.818,248,5.600000,806,392420,244,0.732016,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:10.818,248,5.600000,838,393226,252,0.756269,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:13.053,248,5.600000,890,394064,252,0.767256,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:13.053,250,5.600000,920,394954,256,0.767378,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:15.366,250,5.600000,912,395874,256,0.747996,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:15.366,248,5.600000,832,396786,230,0.716509,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:15.366,250,5.600000,848,397618,208,0.733918,0.000000,0.000000,0.000000,77
17 Oct 2022,15:05:16.818,250,5.600000,862,398466,256,0.767225,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:16.818,254,5.500000,858,399328,236,0.744695,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:19.039,250,5.500000,820,400186,246,0.690284,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:19.039,254,5.500000,832,401006,252,0.719010,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:20.883,256,5.500000,862,401838,206,0.718286,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:20.883,258,5.500000,838,402700,250,0.668650,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:20.883,254,5.600000,818,403538,250,0.744716,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:22.894,254,5.600000,856,404356,206,0.748604,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:22.894,256,5.500000,906,405212,254,0.746511,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:24.874,256,5.500000,912,406118,256,0.721911,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:24.874,254,5.500000,868,407030,236,0.694176,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:26.749,252,5.500000,860,407898,250,0.723534,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:26.749,254,5.500000,882,408758,210,0.735274,0.000000,0.000000,0.000000,78
17 Oct 2022,15:05:28.099,256,5.500000,902,409640,254,0.710188,0.000000,0.000000,0.000000,79
