Date,Time,SPO2 (%),TimeStamp (mS)
17 Oct 2022,15:03:29.297,98,1666033409297
17 Oct 2022,15:03:31.847,97,1666033411847
17 Oct 2022,15:03:34.403,97,1666033414403
17 Oct 2022,15:03:36.962,98,1666033416962
17 Oct 2022,15:03:39.497,98,1666033419497
17 Oct 2022,15:03:42.049,98,1666033422049
17 Oct 2022,15:03:44.614,97,1666033424614
17 Oct 2022,15:03:47.158,97,1666033427158
17 Oct 2022,15:03:49.711,97,1666033429711
17 Oct 2022,15:03:52.257,97,1666033432258
17 Oct 2022,15:03:54.799,97,1666033434799
17 Oct 2022,15:03:57.357,96,1666033437357
17 Oct 2022,15:03:59.907,96,1666033439907
17 Oct 2022,15:04:02.477,96,1666033442477
17 Oct 2022,15:04:05.018,96,1666033445018
17 Oct 2022,15:04:07.557,96,1666033447557
17 Oct 2022,15:04:10.112,96,1666033450112
17 Oct 2022,15:04:12.664,96,1666033452664
17 Oct 2022,15:04:15.222,97,1666033455222
17 Oct 2022,15:04:17.766,97,1666033457766
17 Oct 2022,15:04:20.310,97,1666033460310
17 Oct 2022,15:04:22.871,97,1666033462872
17 Oct 2022,15:04:25.427,97,1666033465427
17 Oct 2022,15:04:27.973,97,1666033467973
17 Oct 2022,15:04:30.525,97,1666033470525
17 Oct 2022,15:04:33.063,97,1666033473063
17 Oct 2022,15:04:35.621,97,1666033475621
17 Oct 2022,15:04:38.177,97,1666033478177
17 Oct 2022,15:04:40.753,97,1666033480753
17 Oct 2022,15:04:43.296,97,1666033483296
17 Oct 2022,15:04:45.833,97,1666033485833
17 Oct 2022,15:04:48.386,98,1666033488386
17 Oct 2022,15:04:50.944,98,1666033490944
17 Oct 2022,15:04:53.498,97,1666033493498
17 Oct 2022,15:04:56.057,98,1666033496057
17 Oct 2022,15:04:58.595,98,1666033498595
17 Oct 2022,15:05:01.151,98,1666033501151
17 Oct 2022,15:05:03.705,97,1666033503705
17 Oct 2022,15:05:06.244,97,1666033506244
17 Oct 2022,15:05:08.807,97,1666033508807
17 Oct 2022,15:05:11.350,97,1666033511350
17 Oct 2022,15:05:13.904,97,1666033513904
17 Oct 2022,15:05:16.453,97,1666033516453
17 Oct 2022,15:05:19.014,97,1666033519014
17 Oct 2022,15:05:21.559,97,1666033521559
17 Oct 2022,15:05:24.093,97,1666033524093
17 Oct 2022,15:05:26.663,97,1666033526663
17 Oct 2022,15:05:29.205,98,1666033529205
17 Oct 2022,15:05:31.765,98,1666033531765
17 Oct 2022,15:05:34.303,98,1666033534303
17 Oct 2022,15:05:36.856,98,1666033536856
17 Oct 2022,15:05:39.411,98,1666033539411
17 Oct 2022,15:05:41.967,98,1666033541967
17 Oct 2022,15:05:44.524,97,1666033544524
17 Oct 2022,15:05:47.064,98,1666033547064
17 Oct 2022,15:05:49.625,98,1666033549625
17 Oct 2022,15:05:52.164,97,1666033552164
17 Oct 2022,15:05:54.728,97,1666033554729
17 Oct 2022,15:05:57.280,97,1666033557280
17 Oct 2022,15:05:59.813,97,1666033559813
17 Oct 2022,15:06:02.370,97,1666033562370
17 Oct 2022,15:06:04.917,97,1666033564917
17 Oct 2022,15:06:07.466,97,1666033567466
17 Oct 2022,15:06:10.031,97,1666033570031
17 Oct 2022,15:06:12.562,97,1666033572562
17 Oct 2022,15:06:15.117,97,1666033575117
17 Oct 2022,15:06:17.673,97,1666033577673
17 Oct 2022,15:06:20.236,97,1666033580236
17 Oct 2022,15:06:22.772,97,1666033582772
17 Oct 2022,15:06:25.328,97,1666033585328
17 Oct 2022,15:06:27.870,97,1666033587870
17 Oct 2022,15:06:30.422,97,1666033590422
17 Oct 2022,15:06:32.980,97,1666033592980
17 Oct 2022,15:06:35.587,98,1666033595588
17 Oct 2022,15:06:38.078,98,1666033598078
17 Oct 2022,15:06:40.632,98,1666033600632
17 Oct 2022,15:06:43.189,98,1666033603189
